20954,43,Services for Sexual Violence Survivors,11641,Moi District Hospital Voi,4
28640,43,Services for Sexual Violence Survivors,10470,Kangema Sub-District Hospital,3
21036,43,Services for Sexual Violence Survivors,15778,Wesley Health Centre,3
33315,43,Services for Sexual Violence Survivors,16973,Openda Dispensary,2
33316,43,Services for Sexual Violence Survivors,16974,Bokimai Dispensary,2
28914,43,Services for Sexual Violence Survivors,13550,Etago Sub-District Hospital,4
33318,43,Services for Sexual Violence Survivors,16976,Gaturi Catholic Parish Dispensary,2
28585,43,Services for Sexual Violence Survivors,10777,Murang'a District Hospital,4
33333,43,Services for Sexual Violence Survivors,16991,Katulani Sub District Hospital (Kitui),4
33083,43,Services for Sexual Violence Survivors,10890,Nyahururu District Hospital,4
23355,43,Services for Sexual Violence Survivors,15253,Muramati Dispensary,2
23192,43,Services for Sexual Violence Survivors,15349,Ngobit Dispensary,2
33374,43,Services for Sexual Violence Survivors,17031,Wasammy Medical Clinic,2
21034,43,Services for Sexual Violence Survivors,14572,Ime (AIC) Health Centre,2
28570,43,Services for Sexual Violence Survivors,13726,Kuria District Hospital,4
24924,43,Services for Sexual Violence Survivors,14936,Kiratina Medical Clinic,2
20944,43,Services for Sexual Violence Survivors,15049,Lodwar District Hospital,4
28625,43,Services for Sexual Violence Survivors,15834,Busia District Hospital,4
33397,43,Services for Sexual Violence Survivors,17053,Ilchalai Dispensary,2
29873,43,Services for Sexual Violence Survivors,15296,Namelok Health Centre,3
29601,43,Services for Sexual Violence Survivors,14200,Amboseli Dispensary,2
30510,43,Services for Sexual Violence Survivors,14450,Emumwenyi Dispensary,2
28910,43,Services for Sexual Violence Survivors,14467,Entarara Health Centre,3
29082,43,Services for Sexual Violence Survivors,14493,Fatima Health Centre (Lenkism),3
29703,43,Services for Sexual Violence Survivors,14569,Iltilal Health Centre,3
29985,43,Services for Sexual Violence Survivors,14581,Isinet Dispensary,2
23683,43,Services for Sexual Violence Survivors,12357,Kithimani Dispensary,2
28798,43,Services for Sexual Violence Survivors,14868,Kimana Health Centre,3
30170,43,Services for Sexual Violence Survivors,15012,Langata Enkima Dispensary,2
28601,43,Services for Sexual Violence Survivors,12516,Meru District Hospital,5
20896,43,Services for Sexual Violence Survivors,14607,Kabarnet District Hospital,4
24138,43,Services for Sexual Violence Survivors,12078,Ikombe Disp,2
28693,43,Services for Sexual Violence Survivors,12420,Kyuso District Hospital,2
29768,43,Services for Sexual Violence Survivors,12818,Twimyua Dispensary,2
29281,43,Services for Sexual Violence Survivors,15956,Kopsiro Health Centre,3
28788,43,Services for Sexual Violence Survivors,12539,Mivukoni Health Centre,3
33420,43,Services for Sexual Violence Survivors,17076,Kapkota Dispensary,2
33426,43,Services for Sexual Violence Survivors,17082,Nyaporo Dispensary,2
29741,43,Services for Sexual Violence Survivors,15854,Chepkube Dispensary,2
28935,43,Services for Sexual Violence Survivors,15855,Cheptais Sub District Hospital,4
33032,43,Services for Sexual Violence Survivors,12730,Shalom Community Hospital (Machakos),4
30702,43,Services for Sexual Violence Survivors,15924,Kaptalelio Dispensary,2
28520,43,Services for Sexual Violence Survivors,12004,Embu Provincial General Hospital,5
29041,43,Services for Sexual Violence Survivors,13657,Katito Health Centre,3
20919,43,Services for Sexual Violence Survivors,15311,Narok District Hospital,4
30408,43,Services for Sexual Violence Survivors,15874,Elwesero Dispensary,2
28524,43,Services for Sexual Violence Survivors,15915,Kakamega Provincial General Hospital (PGH),5
20931,43,Services for Sexual Violence Survivors,14706,Kapkatet District Hospital,4
28521,43,Services for Sexual Violence Survivors,12438,Machakos Level 5 Hospital,5
25494,43,Services for Sexual Violence Survivors,14414,Dr Mbuthia Clinic,2
33480,43,Services for Sexual Violence Survivors,17135,Robinson Medical Clinic (Manga),2
33481,43,Services for Sexual Violence Survivors,17136,Pakeza Medical Clinic (Manga),2
28639,43,Services for Sexual Violence Survivors,16025,Mt Elgon District Hospital,4
28617,43,Services for Sexual Violence Survivors,12457,Makueni District Hospital,4
29080,43,Services for Sexual Violence Survivors,15952,Kipsigon (FGC) Health Centre,3
28582,43,Services for Sexual Violence Survivors,12314,Kilungu Sub-District Hospital,2
28925,43,Services for Sexual Violence Survivors,12309,Kilala Health Centre,3
29928,43,Services for Sexual Violence Survivors,10839,Ndunyu Chege Dispensary,2
28624,43,Services for Sexual Violence Survivors,10639,Kirwara Sub District,4
20932,43,Services for Sexual Violence Survivors,14701,Kapenguria District Hospital,4
21772,43,Services for Sexual Violence Survivors,14287,Changoi Dispensary,3
29349,43,Services for Sexual Violence Survivors,11547,Makanzani Dispensary,2
28567,43,Services for Sexual Violence Survivors,16078,Navakholo Sub-District Hospital,4
31273,43,Services for Sexual Violence Survivors,15844,Kakamega Central Nursing Home,3
33526,43,Services for Sexual Violence Survivors,17180,Rehema Children Medical Clinic Lodwar,2
29310,43,Services for Sexual Violence Survivors,12104,Ivuusya Dispensary,2
21631,43,Services for Sexual Violence Survivors,14215,Arroket Dispensary,2
30345,43,Services for Sexual Violence Survivors,10581,Kiganjo Dispensary,2
22507,43,Services for Sexual Violence Survivors,14273,Burgei Dispensary,2
28695,43,Services for Sexual Violence Survivors,12366,Kitui District Hospital,4
21202,43,Services for Sexual Violence Survivors,14323,Chemosot Health Centre,3
28528,43,Services for Sexual Violence Survivors,10765,St Mulumba Mission Hospital,4
28531,43,Services for Sexual Violence Survivors,11097,Thika Nursing Home,4
28664,43,Services for Sexual Violence Survivors,11973,Chuka District Hospital,4
28547,43,Services for Sexual Violence Survivors,15051,Loitokitok District Hospital,4
30488,43,Services for Sexual Violence Survivors,15361,Nkama Dispensary,2
31107,43,Services for Sexual Violence Survivors,15366,Nolasit Dispensary,2
29761,43,Services for Sexual Violence Survivors,15426,Olorika Dispensary,2
29385,43,Services for Sexual Violence Survivors,15435,Oltiasika Dispensary,2
29133,43,Services for Sexual Violence Survivors,15490,Rombo Health Centre,3
21193,43,Services for Sexual Violence Survivors,14300,Cheborgei Health Centre,3
29646,43,Services for Sexual Violence Survivors,12134,Kakeani Dispensary,2
29416,43,Services for Sexual Violence Survivors,10195,Gachika Dispensary,2
28919,43,Services for Sexual Violence Survivors,10864,Ngenda Health Centre,3
27185,43,Services for Sexual Violence Survivors,12596,Mutiluni Dispensary,2
33616,43,Services for Sexual Violence Survivors,17268,Kakutha Dispensary,2
21268,43,Services for Sexual Violence Survivors,14935,Kipwastuiyo Health Centre,3
27198,43,Services for Sexual Violence Survivors,12399,Kwale Dispensary,2
21257,43,Services for Sexual Violence Survivors,14970,Koiwa Health Centre,3
20806,43,Services for Sexual Violence Survivors,14178,AIC Litein Mission Hospital,4
21255,43,Services for Sexual Violence Survivors,15195,Mogogosiek Health Centre,3
27242,43,Services for Sexual Violence Survivors,12313,Kilome Nursing Home,3
27120,43,Services for Sexual Violence Survivors,12419,Kyumbe (AIC) Dispensary,2
27309,43,Services for Sexual Violence Survivors,11946,Barazani Medical Clinic,2
27049,43,Services for Sexual Violence Survivors,12777,Sultan Hamud Sub District Hospital,4
27116,43,Services for Sexual Violence Survivors,12724,Salama (Baptist) Nursing Home,2
27054,43,Services for Sexual Violence Survivors,12499,Mbenuu H Centre,3
